gen,nevals,med,min,max
0,15000,1.4626980439001054e+26,1.462698043558475e+26,inf
1,15000,1.4626980439055834e+26,1.4626980390707626e+26,inf
2,15000,1.4626980439008706e+26,1.4626980374235363e+26,2.7242611942502477e+125
3,15000,1.4626980439001415e+26,1.4626581650341682e+26,2.9416917622918043e+154
4,15000,1.4626980439061708e+26,1.4626581650341682e+26,inf
5,15000,1.4626980439003453e+26,1.4626581650341682e+26,inf
6,15000,1.4626980439000377e+26,1.4623816896226905e+26,3.4621792008314543e+71
7,15000,1.462698043899984e+26,1.4623354297182348e+26,inf
8,15000,1.462698043899144e+26,1.4396609530554221e+26,1.4167969903877375e+129
9,15000,1.4626980439009022e+26,1.4396609530554221e+26,inf
10,15000,1.4626980438998785e+26,1.4396609530554221e+26,inf
11,15000,1.4626980439002147e+26,1.4111893013421326e+26,inf
12,15000,,,
13,15000,1.4626980437909287e+26,1.3900176937568183e+26,inf
14,15000,1.4626980438983551e+26,1.1825753514190222e+26,inf
15,15000,1.4626980437370248e+26,1.1825753514190222e+26,inf
16,15000,1.4626980415586196e+26,1.1284904939306236e+26,inf
17,15000,1.462698042892104e+26,1.1157056328831078e+26,inf
18,15000,1.4626980390707626e+26,1.1037568575428056e+26,inf
19,15000,1.4626980237584773e+26,1.1037568575428056e+26,inf
20,15000,1.4626980207867485e+26,7.758617790779479e+25,inf
21,15000,1.4626980398328659e+26,7.758617790779479e+25,inf
22,15000,1.4626980438510378e+26,7.758617790779479e+25,inf
23,15000,1.4626980434846032e+26,7.758617790779479e+25,inf
24,15000,1.4626980438485744e+26,7.758617790779479e+25,8.340588887842454e+92
25,15000,1.46269803524445e+26,1.0678904225210703e+26,inf
26,15000,1.4626980046506603e+26,1.0678904225210703e+26,inf
27,15000,1.4626979779929523e+26,1.0678904225210703e+26,7.732756807824638e+79
28,15000,1.4626980022498886e+26,1.4298956203892812e+26,inf
29,15000,1.4626979870197617e+26,1.407609318584574e+26,5.450427334771656e+173
30,15000,1.4626980194116474e+26,1.4299205655884311e+26,inf
31,15000,1.4626980438804798e+26,1.4299205655884311e+26,2.2939666648779436e+89
32,15000,1.4626980438793487e+26,1.4299205655884311e+26,9.531713587586085e+56
33,15000,1.4626980437327293e+26,1.4221476250229753e+26,2.121532914820386e+39
34,15000,1.4626980378825979e+26,1.4221476250229753e+26,inf
35,15000,1.4626980390153969e+26,1.4026208796248338e+26,inf
36,15000,1.4626980435548433e+26,1.4026208796248338e+26,3.0587453023647635e+260
37,15000,1.4626980437696755e+26,1.2994520155816148e+26,inf
38,15000,1.4626980287997855e+26,6.77917961567567e+25,1.3043714488666808e+124
39,15000,1.4626980425792571e+26,6.77917961567567e+25,2.829323694483286e+59
40,15000,1.4626980327652852e+26,5.660769766933459e+25,inf
41,15000,1.4626980372006996e+26,1.391705545700421e+26,5.675890253361835e+79
42,15000,1.4626980390707626e+26,1.391705545700421e+26,inf
43,15000,1.462698029661173e+26,1.391705545700421e+26,1.0264082845862482e+88
44,15000,1.4626980438927268e+26,1.19525102820065e+26,inf
45,15000,1.4626980436839552e+26,1.3479178052565215e+26,4.30071211746639e+46
46,15000,1.462698009459354e+26,7.123987450013054e+25,inf
47,15000,1.4626980390043237e+26,7.123987450013054e+25,inf
48,15000,1.4626980236803106e+26,7.123987450013054e+25,inf
49,14850,1.462698024582927e+26,7.123987450013054e+25,inf
50,14850,1.4626980236803106e+26,9.616966279576555e+25,7.4804715897869815e+146
51,14850,1.462698043373389e+26,1.2128512059697777e+26,2.1054914280271903e+39
52,14850,1.4626980046282076e+26,1.0399393094755389e+26,6.32504450654261e+170
53,14850,1.4626980433953275e+26,1.0399393094755389e+26,inf
54,14850,1.4626980045991438e+26,1.0399393094755389e+26,2.7655249085802304e+257
55,14850,1.4626979587112902e+26,1.0399393094755389e+26,4.400002127304542e+32
56,14850,1.4626980433953275e+26,1.3088780892408603e+26,9.29435041293125e+173
57,14850,1.4626980237651589e+26,1.039758896558015e+26,inf
58,14850,1.462698004961644e+26,1.0682296626836688e+26,5.272987313165606e+72
59,14850,1.4626980052658136e+26,1.0682296626836688e+26,inf
60,14850,1.4626973072141105e+26,1.0682296626836688e+26,6.87458795529438e+173
61,14850,1.4626976823763548e+26,1.2625354539940946e+26,1.5358711875614386e+173
62,14850,1.4626980433953275e+26,1.2625354539940946e+26,7.733144482042529e+79
63,14850,1.4626980433953275e+26,1.363542833687472e+26,1.7792837557916104e+36
64,14850,1.4626980433953275e+26,1.363542833687472e+26,inf
65,14850,1.4626980435871866e+26,1.363542833687472e+26,inf
66,14850,1.4626977505521331e+26,5.490038028704345e+25,7.733145689779384e+79
67,14850,1.4626980390707626e+26,1.3632804310227097e+26,2.5444776832329e+39
68,14850,1.4626943545843557e+26,9.300212178367062e+25,inf
69,14850,1.4626978122156067e+26,9.300212178367062e+25,inf
70,14850,1.4626978122156067e+26,9.300212178367062e+25,inf
71,14850,1.4626975856507157e+26,9.274044132289636e+25,inf
72,14850,1.462694354578346e+26,9.271714127110192e+25,7.514028314630959e+280
73,14850,1.4626943568703366e+26,8.957893843823035e+25,inf
74,14850,1.4626942125692282e+26,9.295319306481853e+25,inf
75,14850,1.4626977303490358e+26,9.295319306481853e+25,6.363039855004337e+49
76,14850,1.4626980421811717e+26,1.4114571543471026e+26,1.0237578922645113e+70
77,14850,1.4626973323628467e+26,1.4114571543471026e+26,1.7606278056911604e+73
78,14850,1.4626976937274867e+26,9.300212178367062e+25,2.794895022267176e+41
79,14850,1.4626943545843557e+26,1.3818335692289498e+26,6.695396646960976e+82
80,14850,1.4626943545843557e+26,1.3818335692289498e+26,6.868288622926504e+60
81,14850,1.4626943568727475e+26,1.3818335692289498e+26,6.257504168599436e+169
82,14850,1.4626943545843557e+26,9.28068684105999e+25,1.9895872854935743e+207
83,14850,1.4626978122215906e+26,1.3818335692289498e+26,5.736501985101925e+127
84,14850,1.4626979788126884e+26,1.3499254567069965e+26,2.0295062221027216e+172
85,14850,1.4626976456910328e+26,1.3524481887620356e+26,inf
86,14850,1.4626943369489735e+26,9.271275394074036e+25,inf
87,14850,1.462698024260288e+26,9.271275394074036e+25,inf
88,14850,1.4626942502855328e+26,1.388898315504487e+26,2.1361179545713897e+54
89,14850,1.4626978122156067e+26,1.3756726857088043e+26,3.9282842509409576e+173
90,14850,1.4626980387218731e+26,9.300212178367062e+25,inf
91,14850,1.4626942125713995e+26,1.0394980974707753e+26,1.320436332826371e+172
92,14850,1.4626936980958214e+26,9.300212178367062e+25,inf
93,14850,1.4626938656655276e+26,9.29239036197256e+25,1.2719099907886403e+87
94,14850,1.4626943001482212e+26,9.29239036197256e+25,7.748470746068517e+255
95,14850,1.4626942125711719e+26,9.29239036197256e+25,inf
96,14850,1.4626942125713995e+26,5.487358026542441e+25,6.35807007567411e+93
97,14850,1.4626942125713995e+26,1.4066787921971705e+26,2.1651597282947488e+39
98,14850,1.4626943371458246e+26,1.4066787921971705e+26,inf
99,14850,1.462697077952064e+26,1.4066787921971705e+26,2.2356953127641156e+92
100,14850,1.4626943568703366e+26,9.635390752609081e+25,1.5471688755307723e+45
