gen,nevals,med,min
0,1000,367128.98463036795,2.3617960529432343e-10
1,909,1.8539413008111496,2.3617960529432343e-10
2,913,0.5745555543074142,2.3246688571988624e-10
3,916,0.49241954866953774,2.045108999936735e-10
4,902,0.3872191582586889,1.645488311800862e-10
5,932,0.3356919116279574,2.2637822883729986e-10
6,903,0.17400661008742505,2.0607623014986112e-10
7,903,0.00024865131065637217,1.7099761640545276e-10
8,890,9.145267624965611e-07,9.050439548926447e-11
9,915,2.362326427611065e-10,7.533259559964387e-11
10,914,2.3617960529432343e-10,7.533259559964387e-11
11,908,2.3617960529432343e-10,9.050439548926447e-11
12,916,2.3617960529432343e-10,9.050439548926447e-11
13,888,2.3617960529432343e-10,9.050439548926447e-11
14,894,2.3617960529432343e-10,9.868117526515651e-11
15,909,2.361796052943204e-10,8.192752477895053e-11
16,916,2.3617681476687464e-10,8.65375330376632e-11
17,893,2.3567912827146343e-10,7.488143576568641e-11
18,915,2.3353703357237997e-10,8.827818530570155e-11
19,925,2.307702013787457e-10,7.784410405063722e-11
20,920,2.256985800446985e-10,8.120524087987124e-11
21,930,2.0831639242504812e-10,7.505775896957285e-11
22,924,2.1298278992136352e-10,7.4382153278845e-11
23,920,2.0341951782925844e-10,7.326478935050397e-11
24,913,2.0176763543360767e-10,6.602642648359032e-11
25,943,2.031403985259002e-10,5.92845683912761e-11
26,925,1.896726107575936e-10,5.92845683912761e-11
27,896,1.62766878487252e-10,5.92845683912761e-11
28,918,1.206788598929018e-10,5.92845683912761e-11
29,897,1.0456672986933946e-10,5.92845683912761e-11
30,911,9.747617539866126e-11,6.722688414463981e-11
31,895,9.499561578706839e-11,6.615261684651163e-11
32,903,9.000302557727904e-11,6.469337436131671e-11
33,907,8.65375330376632e-11,6.324467893782427e-11
34,907,8.442633696876733e-11,6.575718012553067e-11
35,915,7.895471818504017e-11,6.617166755694265e-11
36,894,7.838085990392046e-11,6.293515527573682e-11
37,924,7.880134117841287e-11,6.290659741848743e-11
38,924,7.672505666813843e-11,6.290659741848743e-11
39,918,7.603238348543366e-11,6.667031945567026e-11
40,887,7.549618533397535e-11,6.422400251113779e-11
41,924,7.564232978679355e-11,6.422400251113779e-11
42,909,7.549826627749295e-11,6.422400251113779e-11
43,904,7.549635049689983e-11,6.422400251113779e-11
44,893,7.549929950303898e-11,6.422400251113779e-11
45,909,7.568046636062384e-11,6.422400251113779e-11
46,925,7.534798892676633e-11,6.422400251113779e-11
47,925,7.561881248107743e-11,6.494826821431079e-11
48,904,7.553805453112138e-11,6.458496861101355e-11
49,905,7.55986454331291e-11,6.458496861101355e-11
50,918,7.597983586538012e-11,6.458496861101355e-11
51,907,7.663412860013836e-11,6.458496861101355e-11
52,892,7.638009727819405e-11,6.458496861101355e-11
53,913,7.664118047240894e-11,6.458496861101355e-11
54,904,7.665875831782017e-11,6.458496861101355e-11
55,892,7.667630262409013e-11,6.458440868384543e-11
56,896,7.638009727819405e-11,6.458495627183735e-11
57,921,7.590126574044697e-11,6.458443436787895e-11
58,924,7.647888684344658e-11,6.457523730702663e-11
59,908,7.66531003515826e-11,6.458084638164474e-11
60,911,7.652725501373465e-11,6.45766034822523e-11
61,918,7.596900170413444e-11,6.458084638164474e-11
62,896,7.590126574044697e-11,6.457545062547088e-11
63,923,7.590126574044697e-11,6.457545062547088e-11
64,933,7.573188737984022e-11,6.45750401297908e-11
65,890,7.506100817849719e-11,6.45750401297908e-11
66,911,7.501998290206216e-11,6.45750401297908e-11
67,900,7.490625607134556e-11,6.45750401297908e-11
68,928,7.489968637500379e-11,6.456245261273476e-11
69,928,7.501998290206216e-11,6.307565018320376e-11
70,935,7.527936376245861e-11,6.45656783047238e-11
71,903,7.540784589831288e-11,6.45656783047238e-11
72,936,7.515093540445169e-11,6.223688889505092e-11
73,922,7.638009727819405e-11,6.223688889505092e-11
74,900,7.624592178185599e-11,6.223688889505092e-11
75,916,7.573188737984022e-11,6.223688889505092e-11
76,908,7.516910802770317e-11,6.223688889505092e-11
77,930,7.706629044319571e-11,6.223688889505092e-11
78,912,7.638009727819405e-11,6.223688889505092e-11
79,909,7.710516096055559e-11,6.223688889505092e-11
80,881,7.573188737984022e-11,6.223688889505092e-11
81,914,7.513074803703382e-11,6.223688889505092e-11
82,887,7.501998290206216e-11,6.223688889505092e-11
83,914,7.493429771877978e-11,6.223688889505092e-11
84,874,7.21597240445989e-11,6.223688889505092e-11
85,899,7.20996948200407e-11,6.223688889505092e-11
86,900,7.113654688761369e-11,6.223688889505092e-11
87,927,7.207946049251962e-11,6.223688889505092e-11
88,929,7.207946049251962e-11,6.223688889505092e-11
89,904,7.209343928392381e-11,6.223688889505092e-11
90,929,7.209343928392381e-11,6.223688889505092e-11
91,911,7.50019047619313e-11,6.13295466722361e-11
92,900,7.315362866278025e-11,5.093223343843509e-11
93,886,7.314898417059298e-11,5.093223343843509e-11
94,925,7.332139110488829e-11,5.093223343843509e-11
95,913,7.489968637500379e-11,5.093223343843509e-11
96,928,7.518383838615994e-11,5.093223343843509e-11
97,922,7.51378955953173e-11,5.0857317202308475e-11
98,900,7.573188737984022e-11,5.0857317202308475e-11
99,901,7.565803049790121e-11,5.0857317202308475e-11
100,927,7.573188737984022e-11,5.0857317202308475e-11
